name,category,modalisp,url
mlys.rect-membrane.mxo,objects,(make-object 'rect-membrane),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_membrane_rect_fixed.html
mlys.closed-closed-tube.mxo,objects,(make-object 'closed-closed-tube),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_tube_closed_closed.html
mlys.melt-hybrid.mxo,objects,(make-object 'melt-hybrid),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectHybrids/object_hybrid_melt.html
mlys.cello-bridge.mxo,objects,(make-object 'cello-bridge),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_bridge_cello.html
mlys.open-open-tube.mxo,objects,(make-object 'open-open-tube),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_tube_open_open.html
mlys.clamped-circ-plate.mxo,objects,(make-object 'clamped-circ-plate),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_plate_circ_fixed.html
mlys.circ-membrane.mxo,objects,(make-object 'circ-membrane),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_membrane_circ_fixed.html
mlys.tri-hybrid.mxo,objects,(make-object 'tri-hybrid),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectHybrids/object_hybrid_tri.html
mlys.single-point.mxo,objects,(make-object 'single-point),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_point_single.html
mlys.jet.mxo,objects,(make-object 'jet),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_jet.html
mlys.bi-two-mass.mxo,objects,(make-object 'bi-two-mass),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_mass_two_bi.html
mlys.mono-two-mass.mxo,objects,(make-object 'mono-two-mass),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_mass_two_mono.html
mlys.free-circ-plate.mxo,objects,(make-object 'free-circ-plate),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_plate_circ_free.html
mlys.mix-hybrid.mxo,objects,(make-object 'mix-hybrid),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectHybrids/object_hybrid_mix.html
mlys.mono-string.mxo,objects,(make-object 'mono-string),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_string_mono.html
mlys.rect-plate.mxo,objects,(make-object 'rect-plate),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_plate_rect_fixed.html
mlys.violin-bridge.mxo,objects,(make-object 'violin-bridge),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_bridge_violin.html
mlys.bi-string.mxo,objects,(make-object 'bi-string),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_string_bi.html
mlys.closed-open-tube.mxo,objects,(make-object 'closed-open-tube),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_tube_closed_open.html
mlys.read-from-file.mxo,objects,(make-object 'read-from-file),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_file_read.html
mlys.harmonic-oscillator.mxo,objects,(make-object 'harmonic-oscillator),https://support.ircam.fr/docs/Modalys/current/Objects/ObjectReference/object_mass_one_mono.html
mlys.mono-fingerboard.mxo,connections,(make-connection 'mono-fingerboard),https://support.ircam.fr/docs/Modalys/current/Connections/connection_fingerboard_mono.html
mlys.bow.mxo,connections,(make-connection 'bow),https://support.ircam.fr/docs/Modalys/current/Connections/connection_bow.html
mlys.valve.mxo,connections,(make-connection 'valve),https://support.ircam.fr/docs/Modalys/current/Connections/connection_valve.html
mlys.spring.mxo,connections,(make-connection 'spring),https://support.ircam.fr/docs/Modalys/current/Connections/connection_spring.html
mlys.adhere.mxo,connections,(make-connection 'adhere),https://support.ircam.fr/docs/Modalys/current/Connections/connection_adhere.html
mlys.reed.mxo,connections,(make-connection 'reed),https://support.ircam.fr/docs/Modalys/current/Connections/connection_reed.html
